"","Sample_ID","RSC","Water_column"
"1","TC_RSC_049_ACET","in-stream","submerged"
"2","TC_RSC_050_ACET","in-stream","submerged"
"3","TC_RSC_051_ACET","in-stream","submerged"
"4","TC_RSC_052_ACET","in-stream","submerged"
"5","TC_RSC_053_ACET","in-stream","submerged"
"6","TC_RSC_054_ACET","in-stream","submerged"
"7","TC_RSC_055_ACET","in-stream","submerged"
"8","TC_RSC_056_ACET","in-stream","submerged"
"9","TC_RSC_057_ACET","in-stream","island"
"10","TC_RSC_058_ACET","in-stream","island"
"11","TC_RSC_059_ACET","in-stream","island"
"12","TC_RSC_060_ACET","in-stream","island"
"13","TC_RSC_061_ACET","dry","dry"
"14","TC_RSC_062_ACET","dry","dry"
"15","TC_RSC_063_ACET","dry","dry"
"16","TC_RSC_064_ACET","dry","dry"
"17","TC_RSC_065_ACET","dry","dry"
"18","TC_RSC_066_ACET","dry","dry"
"19","TC_RSC_067_ACET","dry","dry"
"20","TC_RSC_068_ACET","dry","dry"
