"","Sample_ID","RSC","Water_column"
"1","TC_RSC_029_ACET","in-stream","submerged"
"2","TC_RSC_030_ACET","in-stream","submerged"
"3","TC_RSC_031_ACET","in-stream","submerged"
"4","TC_RSC_032_ACET","in-stream","submerged"
"5","TC_RSC_033_ACET","in-stream","submerged"
"6","TC_RSC_034_ACET","in-stream","submerged"
"7","TC_RSC_035_ACET","in-stream","submerged"
"8","TC_RSC_036_ACET","in-stream","submerged"
"9","TC_RSC_037_ACET","in-stream","island"
"10","TC_RSC_038_ACET","in-stream","island"
"11","TC_RSC_039_ACET","in-stream","island"
"12","TC_RSC_040_ACET","in-stream","island"
"13","TC_RSC_041_ACET","dry","dry"
"14","TC_RSC_042_ACET","dry","dry"
"15","TC_RSC_043_ACET","dry","dry"
"16","TC_RSC_044_ACET","dry","dry"
"17","TC_RSC_045_ACET","dry","dry"
"18","TC_RSC_046_ACET","dry","dry"
"19","TC_RSC_047_ACET","dry","dry"
"20","TC_RSC_048_ACET","dry","dry"
