Sample,Date,RSC,Pool,Up_or_down,Water_column,Tin weight (g),Tin + wet soil (g),Tin + dry soil (g),KCl (g) field moist soil,wet_soil(g),dry_soil(g),dry_proportion,KCl dry,NH4_uM,NH4_mg*L,NO3+NO2_uM,NO3+NO2_mg*L,ammonia.adj (mg/g dry soil),nitrate.adj (mg/g dry soil),ammonia (ug NH4/g soil),nitrate (ug NOx/g soil)
TC_RSC_IS_P1_009,20230329,in-stream,I1,upstream,submerged,2.3,30.46,24.22,4.98,28.16,21.92,0.778409091,3.876477273,14.308,0.200412156,-4.938,-0.069166566,0.00232648,-0.000802919,2.326480045,-0.802918539
TC_RSC_IS_P1_010,20230329,in-stream,I1,upstream,submerged,2.36,31.3,26.58,5.02,28.94,24.22,0.836903939,4.201257775,12.84,0.17984988,-4.468,-0.062583276,0.001926386,-0.000670334,1.926386105,-0.670334355
TC_RSC_IS_P1_011,20230329,in-stream,I1,upstream,submerged,2.34,31.12,24.52,4.98,28.78,22.18,0.770674079,3.837956915,16.625,0.232866375,-4.027,-0.056406189,0.002730356,-0.000661362,2.730355527,-0.661361907
TC_RSC_IS_P1_012,20230329,in-stream,I1,upstream,submerged,2.36,29.84,18.48,5,27.48,16.12,0.586608443,2.933042213,28.726,0.402365082,-5.48,-0.07675836,0.006173259,-0.00117766,6.173258814,-1.1776599
TC_RSC_IS_P4_013,20230329,in-stream,I4,downstream,submerged,2.36,29.68,23.82,5.02,27.32,21.46,0.785505124,3.943235725,11.548,0.161752836,-4.331,-0.060664317,0.001845915,-0.000692298,1.845914911,-0.692298015
TC_RSC_IS_P4_014,20230329,in-stream,I4,downstream,submerged,2.34,29,23.44,5.02,26.66,21.1,0.791447862,3.973068267,10.062,0.140938434,-4.967,-0.069572769,0.001596305,-0.000787999,1.596305199,-0.787999197
TC_RSC_IS_P4_015,20230329,in-stream,I4,downstream,submerged,2.32,31.76,26.42,5.02,29.44,24.1,0.81861413,4.109442935,13.141,0.184065987,-4.191,-0.058703337,0.002015594,-0.000642824,2.015594217,-0.642824394
TC_RSC_IS_P4_016,20230329,in-stream,I4,downstream,submerged,2.34,28.36,21.9,5.02,26.02,19.56,0.751729439,3.773681783,9.319,0.130531233,-4.265,-0.059739855,0.001556545,-0.000712379,1.556544993,-0.712379482
TC_RSC_IS_P4i_017,20230329,in-stream,I4,downstream,island,2.32,31.22,24.92,4.98,28.9,22.6,0.78200692,3.894394464,14.75,0.20660325,-1.955,-0.027383685,0.002387315,-0.00031642,2.387314982,-0.316420393
TC_RSC_IS_P4i_018,20230329,in-stream,I4,downstream,island,2.28,31.24,26.02,5,28.96,23.74,0.819751381,4.098756906,35.006,0.490329042,-1.831,-0.025646817,0.005383292,-0.000281575,5.383292397,-0.281574827
TC_RSC_IS_P4i_019,20230329,in-stream,I4,downstream,island,2.28,31.66,26.7,4.98,29.38,24.42,0.831177672,4.139264806,14.963,0.209586741,-2.108,-0.029526756,0.002278521,-0.000321,2.278521377,-0.321000004
TC_RSC_IS_P4i_020,20230329,in-stream,I4,downstream,island,2.3,30.62,25,4.98,28.32,22.7,0.801553672,3.991737288,16.643,0.233118501,-3.338,-0.046755366,0.002628012,-0.000527087,2.628011762,-0.527086659
TC_RSC_Dr_P4_021,20230329,dry,D4,upstream,dry,2.24,29.3,26.28,4.96,27.06,24.04,0.888396157,4.406444937,8.382,0.117406674,-1.32,-0.01848924,0.001198994,-0.000188818,1.198993839,-0.188817927
TC_RSC_Dr_P4_022,20230329,dry,D4,upstream,dry,2.32,30.8,26.84,4.98,28.48,24.52,0.860955056,4.28755618,15.175,0.212556225,0.659,0.009230613,0.002230882,9.68798E-05,2.230881585,0.0968798
TC_RSC_Dr_P4_023,20230329,dry,D4,upstream,dry,2.3,28.66,26.94,5,26.36,24.64,0.934749621,4.673748103,8.523,0.119381661,-1.944,-0.027229608,0.001149436,-0.000262173,1.14943609,-0.262173385
