Sample,N_perc,C_perc
TC_RSC_009,0.02,0.35
TC_RSC_010,0.01,0.33
TC_RSC_011,0.02,0.43
TC_RSC_12,0.09,1.58
TC_RSC_13,0.03,0.22
TC_RSC_14,0.02,0.49
TC_RSC_15,0.03,0.36
TC_RSC_16,0.02,0.42
TC_RSC_17,0.02,0.33
TC_RSC_18,0.03,0.73
TC_RSC_19,0.02,0.37
TC_RSC_20,0.02,0.42
TC_RSC_21,0.04,0.56
TC_RSC_22,0.04,0.57
TC_RSC_23,0.02,0.18
TC_RSC_24,0.03,0.32
TC_RSC_25,0.02,0.34
TC_RSC_26,0.04,0.71
TC_RSC_27,0.02,0.21
TC_RSC_28,0.03,0.33
TC_RSC_29,0.10,2.82
TC_RSC_30,0.02,0.60
TC_RSC_31,0.03,0.15
TC_RSC_32,0.03,0.24
TC_RSC_33,0.07,0.75
TC_RSC_34,0.09,0.46
TC_RSC_35,0.02,0.05
TC_RSC_36,0.03,0.20
TC_RSC_37,0.02,0.23
TC_RSC_38,0.03,0.13
TC_RSC_39,0.03,0.19
TC_RSC_40,0.04,0.35
TC_RSC_41,0.03,0.12
TC_RSC_42,0.04,0.26
TC_RSC_43,0.12,2.27
TC_RSC_44,0.03,0.44
TC_RSC_45,0.04,0.36
TC_RSC_46,0.05,0.63
TC_RSC_47,0.04,0.27
TC_RSC_48,0.03,0.13
TC_RSC_49,0.04,0.52
TC_RSC_50,0.03,0.43
TC_RSC_51,0.03,0.13
TC_RSC_52,0.03,0.36
TC_RSC_53,0.02,0.13
TC_RSC_54,0.02,0.17
TC_RSC_55,0.03,0.25
TC_RSC_56,0.03,0.15
TC_RSC_57,0.03,0.24
TC_RSC_58,0.03,0.23
TC_RSC_59,0.04,0.28
TC_RSC_60,0.06,0.74
TC_RSC_61,0.04,0.47
TC_RSC_62,0.04,0.23
TC_RSC_63,0.18,3.01
TC_RSC_64,0.06,0.80
TC_RSC_65,0.04,0.05
TC_RSC_66,0.04,0.22
TC_RSC_67,0.04,0.25
TC_RSC_68,0.03,0.21
